,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bilibino,68.05,166.44,-30.48,99,81,2.93,RU,1609813374
1,Cherskiy,68.75,161.3,-31.34,78,84,5.26,RU,1609813375
2,San Cristobal,7.77,-72.22,63.19,45,92,2.37,VE,1609813376
3,Tegul'det,57.31,88.17,-24.34,0,86,3.27,RU,1609813378
4,Dingli,35.86,14.38,52.0,20,61,6.93,MT,1609813379
5,Ushuaia,-54.8,-68.3,51.8,75,53,13.87,AR,1609813380
6,Busselton,-33.65,115.33,77.0,0,44,5.01,AU,1609813381
7,Castro,-24.79,-50.01,61.29,47,95,5.88,BR,1609813382
8,Vila Velha,-20.33,-40.29,77.0,40,88,11.41,BR,1609813210
9,East London,-33.02,27.91,74.77,45,71,5.53,ZA,1609813384
10,Severo-Kuril'sk,50.68,156.12,20.39,75,90,22.1,RU,1609813385
11,Saint-Pierre,-21.34,55.48,77.0,40,69,13.87,RE,1609813386
12,Lompoc,34.64,-120.46,55.4,90,93,6.93,US,1609813388
13,Carnarvon,-24.87,113.63,82.4,0,65,11.41,AU,1609813389
14,Atuona,-9.8,-139.03,78.17,87,77,15.68,PF,1609813390
15,Punta Arenas,-53.15,-70.92,51.8,84,53,17.22,CL,1609813391
16,Grindavik,63.84,-22.43,35.6,75,71,6.93,IS,1609813392
17,Ponta do Sol,32.67,-17.1,64.4,40,82,14.99,PT,1609813393
18,Butaritari,3.07,172.79,82.24,100,77,21.14,KI,1609813394
19,Sheltozero,61.37,35.37,22.75,89,96,5.32,RU,1609813395
20,Albany,42.6,-73.97,34.0,94,87,2.64,US,1609813126
21,Irbeyskoye,55.64,95.45,-22.95,98,83,8.48,RU,1609813397
22,Rawson,-43.3,-65.1,59.65,0,65,13.09,AR,1609813191
23,Puerto Ayora,-0.74,-90.35,72.0,57,91,9.37,EC,1609813399
24,Jinchang,38.5,102.17,9.79,0,77,1.86,CN,1609813400
25,Saint-Philippe,-21.36,55.77,77.0,40,69,13.87,RE,1609813402
26,Kapaa,22.08,-159.32,78.8,1,69,9.17,US,1609813403
27,Awjilah,29.11,21.29,53.74,39,76,13.42,LY,1609813404
28,Qaanaaq,77.48,-69.36,-2.47,98,77,4.38,GL,1609813405
29,Cabo San Lucas,22.89,-109.91,66.2,5,45,2.24,MX,1609813406
30,Taoudenni,22.68,-3.98,64.58,49,24,6.02,ML,1609813407
31,George Town,5.41,100.34,80.6,20,83,3.36,MY,1609813369
32,Montes Claros,-16.73,-43.86,71.6,0,88,2.15,BR,1609813409
33,Mahébourg,-20.41,57.7,77.0,40,78,8.05,MU,1609813410
34,Mataura,-46.19,168.86,55.11,100,95,1.34,NZ,1609813411
35,Rio Grande,-32.03,-52.1,75.0,16,83,1.01,BR,1609813381
36,Bluff,-46.6,168.33,53.56,100,94,1.54,NZ,1609813414
37,Yellowknife,62.46,-114.35,-23.01,20,74,4.7,CA,1609813216
38,Litovko,49.24,135.17,-9.17,0,69,2.8,RU,1609813416
39,Rikitea,-23.12,-134.97,76.86,2,73,16.84,PF,1609813417
40,Kahului,20.89,-156.47,84.2,40,51,10.29,US,1609813418
41,Den Helder,52.96,4.76,37.99,75,93,20.8,NL,1609813419
42,Makakilo City,21.35,-158.09,84.2,1,58,10.29,US,1609813420
43,Tual,-5.67,132.75,81.82,100,79,14.56,ID,1609813421
44,Saraland,30.82,-88.07,52.0,1,87,4.7,US,1609813422
45,Antofagasta,-23.65,-70.4,66.2,75,82,9.17,CL,1609813217
46,Mehamn,71.04,27.85,39.13,100,75,16.04,NO,1609813424
47,Dhilwan,31.52,75.35,59.0,75,87,3.06,IN,1609813426
48,San Joaquin,37.93,-121.3,54.0,1,76,8.05,US,1609813427
49,Vaini,-21.2,-175.2,82.4,75,83,14.99,TO,1609813428
50,Kindu,-2.95,25.95,68.58,99,96,1.79,CD,1609813429
51,Eenhana,-17.47,16.33,77.0,32,50,3.36,NA,1609813430
52,Dikson,73.51,80.55,0.18,100,93,25.12,RU,1609813431
53,Nikolskoye,59.7,30.79,28.4,75,79,2.24,RU,1609813432
54,Rocha,-34.48,-54.33,68.52,94,90,11.18,UY,1609813433
55,Camabatela,-8.19,15.38,62.1,99,100,2.77,AO,1609813434
56,Pevek,69.7,170.31,-16.98,99,89,6.51,RU,1609813435
57,Belaya Gora,68.53,146.42,-27.36,42,84,5.39,RU,1609813436
58,Port Alfred,-33.59,26.89,73.0,71,95,3.0,ZA,1609813437
59,Chokurdakh,70.63,147.92,-27.54,26,85,10.85,RU,1609813439
60,Hermanus,-34.42,19.23,70.0,100,87,1.99,ZA,1609813440
61,Hobart,-42.88,147.33,69.01,75,63,9.17,AU,1609813216
62,Srednekolymsk,67.45,153.68,-28.8,63,84,6.11,RU,1609813442
63,Haukipudas,65.18,25.35,-2.2,90,77,3.36,FI,1609813443
64,Pitimbu,-7.47,-34.81,77.0,20,88,8.05,BR,1609813444
65,Kushima,31.46,131.23,46.4,75,87,8.05,JP,1609813445
66,Alofi,-19.06,-169.92,84.2,40,79,8.05,NU,1609813446
67,Alamogordo,32.9,-105.96,45.0,1,30,4.7,US,1609813447
68,Havelock,34.88,-76.9,44.01,1,100,2.95,US,1609813448
69,Katsuura,35.13,140.3,48.99,75,49,3.36,JP,1609813450
70,Yar-Sale,66.83,70.83,-15.18,2,88,13.4,RU,1609813451
71,Mar del Plata,-38.0,-57.56,66.99,90,100,16.11,AR,1609813452
72,Sumbe,-11.21,13.84,75.27,95,86,5.82,AO,1609813453
73,Nago,26.59,127.98,64.4,75,93,19.46,JP,1609813454
74,São Miguel do Araguaia,-13.28,-50.16,73.15,74,84,4.0,BR,1609813455
75,Sinnamary,5.38,-52.95,77.67,77,86,9.19,GF,1609813456
76,São Filipe,14.9,-24.5,75.11,100,75,4.45,CV,1609813457
77,Chui,-33.7,-53.46,70.25,44,87,11.92,UY,1609813458
78,Galle,6.04,80.22,77.54,33,82,4.81,LK,1609813253
79,Cartagena del Chairá,1.33,-74.84,74.25,87,86,3.38,CO,1609813460
80,Lebu,-37.62,-73.65,56.12,0,77,21.52,CL,1609813461
81,Santa Rosa,14.31,121.11,84.99,75,78,2.24,PH,1609813462
82,Marsá Maţrūḩ,31.35,27.25,60.8,0,72,10.29,EG,1609813464
83,Tiksi,71.69,128.87,-12.05,99,89,10.92,RU,1609813465
84,Lagoa,39.05,-27.98,60.93,100,82,25.23,PT,1609813243
85,Prachuap Khiri Khan,12.22,99.75,77.0,0,61,3.36,TH,1609813467
86,Westport,41.14,-73.36,37.0,1,80,5.82,US,1609813468
87,Hithadhoo,-0.6,73.08,83.07,100,74,16.6,MV,1609813469
88,Kudat,6.88,116.85,75.2,40,100,1.12,MY,1609813470
89,Portland,45.52,-122.68,46.99,100,88,1.99,US,1609813216
90,Ulladulla,-35.35,150.47,79.0,40,61,8.05,AU,1609813472
91,Tuktoyaktuk,69.45,-133.04,-16.6,75,75,9.17,CA,1609813473
92,Hambantota,6.12,81.12,73.4,40,100,5.64,LK,1609813474
93,Urucará,-2.54,-57.76,75.87,100,83,1.12,BR,1609813204
94,Torbay,47.67,-52.73,33.01,90,100,17.22,CA,1609813477
95,Roebourne,-20.78,117.13,92.86,20,38,13.69,AU,1609813478
96,Dali,25.7,100.18,51.75,100,55,3.47,CN,1609813479
97,Rāmpur,28.82,79.03,64.78,100,58,5.95,IN,1609813480
98,Ponta Delgada,37.73,-25.67,59.0,40,87,12.75,PT,1609813481
99,Brasília,-15.78,-47.93,69.8,0,88,2.3,BR,1609813482
100,Ninohe,40.27,141.31,26.6,75,68,9.17,JP,1609813483
101,Hilo,19.73,-155.09,78.8,40,65,10.29,US,1609813484
102,Leningradskiy,69.38,178.42,-5.06,100,87,7.67,RU,1609813485
103,New Norfolk,-42.78,147.06,72.0,77,45,1.01,AU,1609813486
104,Qaţanā,33.44,36.08,54.0,0,53,5.82,SY,1609813488
105,Bherāmāra,24.02,88.99,66.94,94,54,3.44,BD,1609813489
106,Viranşehir,37.24,39.76,43.54,21,57,8.14,TR,1609813490
107,Mae Hong Son,19.3,97.97,60.8,90,100,1.12,TH,1609813491
108,Oranjemund,-28.55,16.43,66.15,100,88,3.09,NA,1609813492
109,Aginskoye,51.1,114.53,-13.5,100,76,21.16,RU,1609813493
110,Klaksvík,62.23,-6.59,41.0,90,100,8.3,FO,1609813494
111,Kruisfontein,-34.0,24.73,72.0,100,93,1.99,ZA,1609813495
112,Maniwaki,46.38,-75.97,26.6,100,92,1.9,CA,1609813405
113,Porto Santo,33.07,-16.34,62.6,40,82,3.36,PT,1609813497
114,Tynda,55.17,124.72,-29.38,32,79,4.36,RU,1609813498
115,Panabá,21.28,-88.27,70.39,48,95,7.87,MX,1609813499
116,Magadan,59.57,150.8,-3.37,100,82,10.31,RU,1609813501
117,Airai,-8.93,125.41,69.64,94,90,3.62,TL,1609813502
118,Wągrowiec,52.81,17.2,33.01,100,87,8.01,PL,1609813503
119,Manaus,-3.1,-60.02,78.8,0,88,2.24,BR,1609813293
120,Bekecs,48.15,21.18,42.8,90,93,11.41,HU,1609813505
121,Northam,51.03,-4.22,39.0,74,74,11.99,GB,1609813506
122,Bintulu,3.17,113.03,78.8,20,83,4.7,MY,1609813259
123,Bubaque,11.28,-15.83,80.4,0,63,9.78,GW,1609813508
124,Tautira,-17.73,-149.15,78.8,75,78,13.87,PF,1609813509
125,Vao,-22.67,167.48,79.56,83,85,23.69,NC,1609813511
126,Ballina,-28.87,153.57,89.6,37,66,14.99,AU,1609813512
127,Yatou,37.15,122.38,25.45,53,90,10.4,CN,1609813513
128,Atar,20.52,-13.05,67.32,33,39,3.94,MR,1609813514
129,Sept-Îles,50.2,-66.38,25.0,7,85,1.12,CA,1609813300
130,Yilan,24.76,121.75,66.0,75,93,11.41,TW,1609813516
131,Iberia,29.95,-91.75,55.4,1,82,4.7,US,1609813517
132,Los Llanos de Aridane,28.66,-17.92,68.0,0,68,5.82,ES,1609813518
133,Kota,25.18,75.83,63.03,18,62,3.6,IN,1609813519
134,Evensk,61.95,159.23,-11.63,0,79,11.3,RU,1609813521
135,Saskylakh,71.92,114.08,1.9,100,92,13.71,RU,1609813522
136,Waitati,-45.75,170.57,59.0,100,86,4.0,NZ,1609813523
137,Saint George,37.1,-113.58,48.99,1,33,4.7,US,1609813304
138,Maumere,-8.62,122.21,84.63,98,68,3.42,ID,1609813525
139,Coyhaique,-45.58,-72.07,59.0,0,47,3.36,CL,1609813526
140,Mossamedes,-15.2,12.15,71.49,98,74,3.18,AO,1609813527
141,Tezu,27.92,96.17,67.03,10,30,0.65,IN,1609813528
142,Barrow,71.29,-156.79,-14.8,90,83,3.36,US,1609813411
143,Goundam,16.41,-3.67,71.91,0,20,10.02,ML,1609813530
144,Ilulissat,69.22,-51.1,13.78,100,96,4.59,GL,1609813531
145,Pringsewu,-5.36,104.97,80.73,85,77,6.11,ID,1609813532
146,La Romana,18.43,-68.97,66.2,20,93,4.7,DO,1609813533
147,Vila Franca do Campo,37.72,-25.43,59.0,40,87,12.75,PT,1609813535
148,Provideniya,64.38,-173.3,-3.42,0,86,12.15,RU,1609813536
149,Pisco,-13.7,-76.22,69.8,0,88,14.99,PE,1609813533
150,Kloulklubed,7.04,134.26,84.2,75,79,11.41,PW,1609813538
151,Warrington,53.39,-2.58,37.4,40,74,6.93,GB,1609813539
152,Mackay,-21.15,149.2,82.4,75,88,9.17,AU,1609813540
153,Ribeira Grande,38.52,-28.7,61.79,100,87,28.23,PT,1609813541
154,Riyadh,24.69,46.72,53.6,0,76,2.24,SA,1609813263
155,Bambous Virieux,-20.34,57.76,77.0,40,78,8.05,MU,1609813543
156,Jamestown,42.1,-79.24,32.0,90,100,5.82,US,1609813544
157,Arraial do Cabo,-22.97,-42.03,75.2,0,88,2.24,BR,1609813546
158,Tokonou,9.65,-9.78,70.32,0,40,0.87,GN,1609813547
159,Xichang,27.9,102.26,49.12,99,56,1.86,CN,1609813455
160,Kokopo,-4.35,152.26,86.0,26,55,3.0,PG,1609813549
161,Qaqortoq,60.72,-46.03,28.4,100,50,11.48,GL,1609813550
162,Östersund,63.18,14.64,15.8,54,92,1.88,SE,1609813280
163,Key Largo,25.09,-80.45,70.0,100,58,7.07,US,1609813552
164,Barnstaple,51.08,-4.06,39.99,93,74,11.99,GB,1609813553
165,Semme,46.2,1.5,32.0,90,92,4.7,FR,1609813554
166,Mount Gambier,-37.83,140.77,60.8,90,67,17.22,AU,1609813406
167,Khatanga,71.97,102.5,-9.56,78,89,15.7,RU,1609813556
168,Kathmandu,27.72,85.32,50.0,75,87,2.24,NP,1609813558
169,Saýat,38.78,63.88,23.0,90,85,4.7,TM,1609813559
170,Frederick,39.47,-77.4,37.99,99,95,3.29,US,1609813560
171,Dinguiraye,11.3,-10.72,72.72,0,28,3.27,GN,1609813561
172,Cape Town,-33.93,18.42,69.01,40,88,18.34,ZA,1609813562
173,Iqaluit,63.75,-68.51,-22.0,5,74,4.7,CA,1609813284
174,Peniche,39.36,-9.38,41.0,12,91,4.0,PT,1609813565
175,Biak,-0.91,122.88,82.24,100,74,3.51,ID,1609813566
176,Tutzing,47.91,11.28,27.0,58,92,4.7,DE,1609813567
177,Kaitangata,-46.28,169.85,59.0,100,86,1.01,NZ,1609813568
178,Souillac,-20.52,57.52,77.0,40,78,8.05,MU,1609813569
179,Sambava,-14.27,50.17,73.63,7,76,4.52,MG,1609813570
180,Padre Bernardo,-15.35,-48.5,67.91,28,88,0.98,BR,1609813571
181,Clyde River,70.47,-68.59,-18.4,1,75,17.22,CA,1609813572
182,Altay,47.87,88.12,-9.02,0,57,2.48,CN,1609813573
183,Saint Paul Harbor,57.79,-152.41,33.8,90,86,6.93,US,1609813575
184,Marawi,8.0,124.29,82.0,100,81,5.01,PH,1609813576
185,La Providencia,28.72,-111.58,62.01,0,43,10.76,MX,1609813577
186,Batemans Bay,-35.72,150.18,79.0,70,56,4.9,AU,1609813578
187,Faanui,-16.48,-151.75,81.16,100,74,17.27,PF,1609813579
188,Oktyabr'skoye,43.06,44.74,26.6,2,100,1.92,RU,1609813580
189,Thompson,55.74,-97.86,-0.4,90,84,2.24,CA,1609813581
190,Mandalgovi,45.76,106.27,-15.25,90,86,9.66,MN,1609813582
191,Cockburn Town,21.46,-71.14,76.71,0,67,11.68,TC,1609813583
192,Hay River,60.82,-115.8,-20.2,95,75,1.12,CA,1609813584
193,Tasiilaq,65.61,-37.64,19.4,0,52,2.24,GL,1609813585
194,Salinópolis,-0.61,-47.36,79.9,99,81,10.04,BR,1609813587
195,Torata,-17.08,-70.84,55.6,85,77,1.99,PE,1609813588
196,Akşehir,38.36,31.42,42.87,100,78,5.55,TR,1609813589
197,Norman Wells,65.28,-126.83,-7.6,20,63,23.04,CA,1609813590
198,Avarua,-21.21,-159.78,84.2,55,70,13.87,CK,1609813591
199,Sitka,57.05,-135.33,41.0,90,65,23.04,US,1609813592
200,Riohacha,11.54,-72.91,70.99,0,72,4.21,CO,1609813593
201,Eyl,7.98,49.82,72.0,49,70,14.12,SO,1609813594
202,Neiafu,-18.65,-173.98,82.4,75,88,9.17,TO,1609813595
203,Mathbaria,22.29,89.96,67.42,77,56,4.38,BD,1609813596
204,Bredasdorp,-34.53,20.04,69.8,100,83,5.82,ZA,1609813597
205,Svetlaya,46.54,138.33,4.05,4,75,5.3,RU,1609813599
206,Yeniseysk,58.45,92.17,-26.95,39,85,4.63,RU,1609813481
207,Tiarei,-17.53,-149.33,78.8,75,78,11.41,PF,1609813601
208,Vágur,61.47,-6.81,45.63,100,85,13.6,FO,1609813602
209,Sar-e Pul,35.83,66.17,19.18,99,80,1.28,AF,1609813603
210,Santa Maria,-29.68,-53.81,75.2,75,83,6.93,BR,1609813604
211,Rameshki,57.34,36.05,28.15,100,99,2.01,RU,1609813605
212,Dudinka,69.41,86.18,-13.0,90,75,15.66,RU,1609813606
213,Inírida,3.87,-67.92,72.93,9,94,1.01,CO,1609813607
214,Maputo,-25.97,32.59,78.8,75,83,6.93,MZ,1609813608
215,Comodoro Rivadavia,-45.87,-67.5,59.0,0,58,12.75,AR,1609813609
216,Straumen,63.87,11.3,30.0,0,85,5.82,NO,1609813610
217,Tura,25.52,90.22,64.09,100,64,2.17,IN,1609813612
218,Jieshi,22.81,115.83,66.99,0,47,1.01,CN,1609813613
219,Mahanoro,-19.9,48.8,72.3,0,88,4.83,MG,1609813614
220,Merauke,-8.47,140.33,85.98,8,72,10.85,ID,1609813615
221,Daru,-9.08,143.21,85.32,100,69,7.43,PG,1609813616
222,Kropotkin,45.44,40.58,35.13,99,86,10.49,RU,1609813617
223,Desnogorsk,54.15,33.28,29.39,100,99,7.72,RU,1609813618
224,Upernavik,72.79,-56.15,19.24,100,93,37.07,GL,1609813619
225,Nara,34.69,135.8,43.0,75,65,1.12,JP,1609813620
226,Mānsa,29.98,75.38,58.24,99,87,9.08,IN,1609813621
227,Muisne,0.6,-80.03,75.09,85,84,10.6,EC,1609813623
228,Sioux Lookout,50.1,-91.92,30.2,90,92,4.7,CA,1609813624
229,Fortuna,40.6,-124.16,46.99,75,100,3.62,US,1609813625
230,Port Moresby,-9.44,147.18,89.6,20,59,11.41,PG,1609813575
231,Nantucket,41.28,-70.1,39.99,90,86,21.92,US,1609813627
232,Goth Phulji,26.88,67.68,47.93,0,51,1.61,PK,1609813628
233,Tilichiki,60.47,166.1,-15.38,33,89,10.76,RU,1609813629
234,Cabedelo,-6.98,-34.83,77.0,20,88,8.05,BR,1609813630
235,Ternovskaya,45.85,40.41,35.73,100,83,15.19,RU,1609813631
236,Phonhong,18.5,102.42,66.2,20,88,4.7,LA,1609813632
237,Akhnūr,32.87,74.73,55.4,90,93,11.41,IN,1609813634
238,Pittsburg,38.03,-121.88,55.4,75,66,8.05,US,1609813451
239,Faya,18.39,42.45,51.8,0,87,0.4,SA,1609813636
240,Bathsheba,13.22,-59.52,77.0,20,78,12.75,BB,1609813637
241,Constitución,-35.33,-72.42,56.89,4,71,12.86,CL,1609813492
242,Maceió,-9.67,-35.74,73.4,75,94,10.67,BR,1609813404
243,Biltine,14.53,20.92,71.76,0,21,11.03,TD,1609813623
244,Sur,22.57,59.53,66.56,0,40,12.26,OM,1609813391
245,Khani,41.96,42.96,50.0,0,31,35.57,GE,1609813642
246,Yomou,7.56,-9.27,69.15,100,97,1.34,GN,1609813643
247,Kaka,37.35,59.61,29.41,0,89,0.81,TM,1609813644
248,Hamilton,39.18,-84.53,36.0,1,92,2.62,US,1609813363
249,Tateyama,34.98,139.87,53.6,75,37,14.99,JP,1609813647
250,Sterling,39.01,-77.43,39.99,90,86,2.89,US,1609813648
251,Nanortalik,60.14,-45.24,27.66,99,97,8.41,GL,1609813649
252,Aban,56.67,96.06,-29.92,27,83,5.99,RU,1609813650
253,Lavrentiya,65.58,-171.0,-7.29,26,88,11.36,RU,1609813651
254,Agüimes,27.91,-15.45,66.2,20,88,5.82,ES,1609813652
255,Padang,-0.95,100.35,84.2,20,62,2.24,ID,1609813653
256,General Roca,-39.03,-67.58,68.0,20,64,10.29,AR,1609813654
257,Gōtsuchō,35.0,132.22,46.4,75,61,5.82,JP,1609813655
258,Bethel,41.37,-73.41,34.0,90,80,3.04,US,1609813657
259,Kiama,-34.68,150.87,79.0,39,77,3.0,AU,1609813658
260,Samarai,-10.62,150.67,86.32,98,69,13.82,PG,1609813659
261,Husavik,66.04,-17.34,39.2,75,55,13.87,IS,1609813660
262,Longyearbyen,78.22,15.64,32.0,90,97,43.62,SJ,1609813504
263,Chyorny Yar,48.06,46.11,26.15,94,91,16.17,RU,1609813662
264,Shizunai-furukawachō,42.33,142.37,25.39,65,84,17.4,JP,1609813610
265,Batagay-Alyta,67.8,130.41,-24.54,14,82,2.35,RU,1609813664
266,Hong Kong,22.29,114.16,66.99,81,51,1.01,HK,1609813661
267,Sundsvall,62.39,17.31,17.01,0,85,5.82,SE,1609813387
268,Ketchikan,55.34,-131.65,39.2,90,100,34.45,US,1609813668
269,Saint-Augustin,51.23,-58.65,18.84,0,94,3.24,CA,1609813669
270,Athens,37.98,23.72,55.0,20,87,4.7,GR,1609813665
271,Tete,-16.16,33.59,77.0,40,100,3.36,MZ,1609813671
272,Tuatapere,-46.13,167.68,55.02,100,92,1.74,NZ,1609813672
273,Port Elizabeth,-33.92,25.57,73.4,75,94,6.93,ZA,1609813673
274,Esperance,-33.87,121.9,64.4,90,52,12.75,AU,1609813522
275,Kavaratti,10.57,72.64,81.7,97,75,8.63,IN,1609813675
276,Bengkulu,-3.8,102.27,83.93,80,67,4.34,ID,1609813676
277,Uyuni,-20.46,-66.83,55.02,3,40,14.23,BO,1609813677
278,Mogok,22.92,96.5,63.46,100,63,1.05,MM,1609813581
