,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,Buala,-8.14,159.59,88.2,91,60,5.3,SB,1609813679
280,Dryden,49.78,-92.75,28.4,90,92,9.17,CA,1609813681
281,Amarpur,25.03,86.9,65.44,96,54,1.7,IN,1609813682
282,Pinsk,52.12,26.1,39.06,100,91,11.81,BY,1609813683
283,Banjar,-8.19,114.97,82.4,75,83,8.05,ID,1609813684
284,Port Blair,11.67,92.75,82.27,0,73,13.87,IN,1609813685
285,San Quintín,30.48,-115.95,57.67,81,86,15.41,MX,1609813686
286,Westerland,54.91,8.3,35.01,96,87,17.22,DE,1609813687
287,Dodge City,37.75,-100.02,42.01,1,51,6.93,US,1609813688
288,Emerald,-23.53,148.17,91.4,40,46,9.17,AU,1609813690
289,Morgan City,29.7,-91.21,57.0,1,100,4.7,US,1609813691
290,Talnakh,69.49,88.4,-13.0,90,75,15.66,RU,1609813692
291,Mīāndoāb,36.97,46.1,24.8,0,62,9.17,IR,1609813693
292,Yeppoon,-23.13,150.73,87.8,75,55,8.05,AU,1609813694
293,Sarkand,45.41,79.92,5.81,11,46,1.88,KZ,1609813695
294,Dharmanagar,24.37,92.17,62.91,100,77,1.43,IN,1609813696
295,Auki,-8.77,160.7,88.27,92,56,4.74,SB,1609813697
296,Dwārka,22.24,68.97,65.32,0,59,13.62,IN,1609813698
297,Khipro,25.83,69.38,53.62,0,69,6.89,PK,1609813699
298,Verkhnevilyuysk,63.45,120.32,-33.5,87,82,5.66,RU,1609813700
299,Madang,-5.22,145.8,87.04,21,62,4.65,PG,1609813702
300,Olafsvik,64.89,-23.71,38.28,100,76,19.64,IS,1609813703
301,Karratha,-20.74,116.85,95.38,6,31,3.78,AU,1609813704
302,Port Macquarie,-31.43,152.92,87.01,6,60,1.99,AU,1609813705
303,Aberdeen,57.14,-2.1,35.6,98,93,12.75,GB,1609813527
304,Chālūs,36.66,51.42,44.6,75,93,2.24,IR,1609813707
305,Jumla,29.27,82.18,39.61,93,65,5.23,NP,1609813708
306,Shimokizukuri,40.81,140.39,28.99,75,85,9.17,JP,1609813709
307,Mayor Pablo Lagerenza,-19.93,-60.77,73.47,100,95,2.48,PY,1609813710
308,Pangnirtung,66.15,-65.71,-21.41,91,81,0.6,CA,1609813711
309,Varhaug,58.61,5.65,23.0,0,85,2.24,NO,1609813712
310,Lambaréné,-0.7,10.24,74.7,71,93,3.31,GA,1609813714
311,Presidente Médici,-11.18,-61.9,72.16,100,94,2.86,BR,1609813715
312,Bairiki Village,1.33,172.98,84.2,75,70,12.75,KI,1609813716
313,Fukuechō,32.69,128.84,50.0,75,57,13.87,JP,1609813717
314,Yagodnoye,62.55,149.67,-16.22,100,85,2.21,RU,1609813718
315,Verkhnyaya Inta,65.98,60.31,-4.79,3,91,1.36,RU,1609813719
316,Solnechnyy,50.72,136.63,-10.77,72,81,2.06,RU,1609813720
317,Haines Junction,60.75,-137.51,7.65,100,90,2.17,CA,1609813721
318,Anadyr,64.75,177.48,-9.0,0,75,13.42,RU,1609813722
319,Cidreira,-30.18,-50.21,74.03,100,77,19.84,BR,1609813723
320,Alcúdia,39.85,3.12,37.99,0,93,5.82,ES,1609813724
321,Dhidhdhoo,6.88,73.1,81.52,100,78,8.97,MV,1609813520
322,Tabas,33.6,56.92,30.2,19,50,2.24,IR,1609813726
323,Khasan,42.43,130.64,11.21,0,78,23.0,RU,1609813727
324,Half Moon Bay,37.46,-122.43,55.4,90,93,8.3,US,1609813729
325,Sātkhira,22.72,89.1,60.8,52,87,3.36,BD,1609813610
326,Rundu,-17.93,19.77,66.61,100,93,4.09,NA,1609813731
327,São João da Barra,-21.64,-41.05,75.96,98,88,18.9,BR,1609813732
328,San Isidro,-12.12,-77.05,70.0,0,88,10.29,PE,1609813733
329,Aden,12.78,45.04,75.88,7,78,11.36,YE,1609813556
330,Henties Bay,-22.12,14.28,69.01,13,89,7.29,NA,1609813735
331,Bosaso,11.28,49.18,72.52,0,72,5.53,SO,1609813736
332,Orsha,54.52,30.41,32.85,100,96,8.1,BY,1609813737
333,Vanavara,60.34,102.28,-28.37,100,83,7.49,RU,1609813738
334,Heihe,50.24,127.49,-13.0,0,57,4.47,CN,1609813708
335,Log,49.48,43.86,24.35,100,98,12.68,RU,1609813740
336,Kotovo,50.32,44.8,25.25,100,98,12.15,RU,1609813742
337,Wadi Maliz,36.47,8.55,41.0,0,52,11.41,TN,1609813743
338,Ust-Kuyga,70.02,135.6,-35.79,50,79,9.46,RU,1609813744
339,Nuuk,64.18,-51.72,21.2,100,92,8.05,GL,1609813745
340,Mayo,38.89,-76.51,42.01,90,93,4.99,US,1609813746
341,Rudnogorsk,57.26,103.75,-39.46,99,81,3.42,RU,1609813747
342,Luanda,-8.84,13.23,77.0,40,88,6.93,AO,1609813748
343,Āwash,8.98,40.17,64.24,44,53,1.77,ET,1609813749
344,Ambilobe,-13.2,49.05,72.63,2,91,1.52,MG,1609813750
345,Keti Bandar,24.14,67.45,58.93,0,37,8.55,PK,1609813751
346,Udachny,66.42,112.4,-9.4,90,83,6.71,RU,1609813752
347,Tramore,52.16,-7.15,37.0,77,87,5.99,IE,1609813753
348,Timrå,62.49,17.33,17.01,0,92,4.7,SE,1609813754
349,Meulaboh,4.14,96.13,79.02,71,79,5.41,ID,1609813756
350,Yumen,40.28,97.2,8.06,0,75,12.26,CN,1609813757
351,Abu Dhabi,24.47,54.37,59.0,0,62,3.36,AE,1609813699
352,Eureka,40.8,-124.16,46.99,60,93,4.7,US,1609813715
353,Byron Bay,-28.65,153.62,89.01,41,66,17.22,AU,1609813760
354,Carroll,39.55,-77.02,37.99,100,89,3.83,US,1609813761
355,Novyy Urgal,51.07,132.56,-24.61,39,79,1.63,RU,1609813762
356,Alyangula,-13.85,136.42,87.8,40,74,9.17,AU,1609813763
357,Santa Cruz de la Sierra,-17.8,-63.17,71.6,90,100,3.36,BO,1609813732
358,Manta,-0.95,-80.73,77.0,40,73,6.93,EC,1609813738
359,Kysyl-Syr,63.9,122.76,-40.83,47,80,4.38,RU,1609813766
360,Yangjiang,21.85,111.97,71.01,99,36,8.12,CN,1609813768
361,Dawson Creek,55.77,-120.24,23.0,20,79,3.36,CA,1609813769
362,Rafaela,-31.25,-61.49,82.0,7,28,3.06,AR,1609813770
363,Wencheng,33.06,113.8,33.37,99,87,12.53,CN,1609813771
364,Berlevåg,70.86,29.09,36.09,87,81,18.79,NO,1609813772
365,Bonavista,48.65,-53.11,24.8,60,92,3.36,CA,1609813773
366,Hasaki,35.73,140.83,48.2,75,75,2.24,JP,1609813774
367,Bouillante,16.13,-61.77,68.0,0,94,10.16,GP,1609813775
368,Ahipara,-35.17,173.17,73.33,22,59,2.13,NZ,1609813776
369,Dunedin,-45.87,170.5,59.0,100,86,1.01,NZ,1609813777
370,Guerrero Negro,27.98,-114.06,59.85,35,77,11.56,MX,1609813749
371,Shimoda,34.67,138.95,53.6,75,37,14.99,JP,1609813779
372,San Patricio,28.02,-97.52,63.0,1,93,8.05,US,1609813781
373,Port Hueneme,34.15,-119.2,57.2,1,82,3.36,US,1609813782
374,Najrān,17.49,44.13,51.8,0,71,0.67,SA,1609813783
375,Luganville,-15.53,167.17,84.2,75,83,4.7,VU,1609813784
376,Sri Aman,1.24,111.46,77.0,40,88,5.82,MY,1609813785
377,Pañgobilian,8.8,117.86,82.38,96,77,11.97,PH,1609813786
378,Lahaina,20.88,-156.68,82.4,40,58,14.99,US,1609813787
379,Beldānga,23.93,88.25,66.43,86,50,2.64,IN,1609813788
380,Ambanja,-13.68,48.45,73.51,16,88,3.44,MG,1609813789
381,Iralaya,15.0,-83.23,76.26,0,81,7.65,HN,1609813790
382,Asău,46.43,26.4,43.0,100,79,5.77,RO,1609813791
383,Vitim,59.45,112.56,-27.4,100,81,7.65,RU,1609813792
384,Juegang,32.32,121.19,44.01,100,77,4.0,CN,1609813794
385,Veinte de Noviembre,14.98,-92.25,77.0,5,100,3.74,MX,1609813795
386,Lüderitz,-26.65,15.16,68.0,78,82,3.36,NA,1609813796
387,Treinta y Tres,-33.23,-54.38,69.12,21,88,10.31,UY,1609813797
388,Zafra,38.42,-6.42,36.0,91,90,1.01,ES,1609813798
389,College,64.86,-147.8,-11.0,40,68,1.32,US,1609813663
390,Kavieng,-2.57,150.8,85.96,94,70,11.61,PG,1609813800
391,Naze,28.37,129.48,66.2,75,93,24.16,JP,1609813804
392,Beloha,-25.17,45.05,74.32,17,71,2.93,MG,1609813806
393,Cayenne,4.93,-52.33,75.2,0,100,9.64,GF,1609813807
394,Bonthe,7.53,-12.51,78.73,11,86,4.41,SL,1609813809
395,Brae,60.4,-1.35,41.0,99,80,5.82,GB,1609813810
396,Rassvet,46.83,40.75,31.06,100,95,18.77,RU,1609813811
397,Baisha,26.52,110.93,49.17,57,51,3.78,CN,1609813812
398,Bandarbeyla,9.49,50.81,72.09,30,70,15.93,SO,1609813813
399,Ostrovnoy,68.05,39.51,11.25,52,94,11.12,RU,1609813815
400,Buncrana,55.13,-7.45,34.47,59,87,2.91,IE,1609813816
401,Nouadhibou,20.93,-17.03,64.4,0,63,4.7,MR,1609813817
402,Hirara,24.8,125.28,69.8,75,88,14.99,JP,1609813818
403,Vestmannaeyjar,63.44,-20.27,38.89,100,90,7.76,IS,1609813820
404,Flinders,-34.58,150.86,79.0,36,80,1.99,AU,1609813821
405,Sola,-13.88,167.55,83.64,100,73,10.04,VU,1609813799
406,Acarí,-15.43,-74.62,72.28,97,71,3.49,PE,1609813824
407,Bam,29.11,58.36,37.9,24,59,7.52,IR,1609813825
408,Shingū,33.73,135.98,46.4,75,49,11.41,JP,1609813826
409,Vega de Alatorre,20.03,-96.63,69.98,68,87,4.03,MX,1609813828
410,Quaraí,-30.39,-56.45,76.41,73,57,7.52,BR,1609813829
411,Pangai,-19.8,-174.35,84.2,75,79,6.93,TO,1609813830
412,Slavutych,51.52,30.73,31.12,100,98,11.95,UA,1609813832
413,Palana,59.12,159.97,-1.39,100,94,7.07,RU,1609813833
414,Vardø,70.37,31.11,34.75,69,85,22.15,NO,1609813834
415,Alugan,12.22,125.48,84.02,100,66,12.01,PH,1609813835
416,Moa,20.66,-74.94,72.9,1,78,4.25,CU,1609813836
417,Saldanha,-33.01,17.94,62.6,44,82,6.93,ZA,1609813838
418,Santa Barbara,34.73,-120.03,55.99,1,93,11.41,US,1609813839
419,Belle Fourche,44.67,-103.85,35.01,1,54,5.82,US,1609813840
420,Tyazhinskiy,56.12,88.52,-24.65,87,86,3.09,RU,1609813841
421,Petropavlovsk-Kamchatskiy,53.05,158.65,21.2,40,62,4.47,RU,1609813842
422,Stornoway,58.21,-6.39,34.0,0,80,3.36,GB,1609813844
423,Barysh,53.66,47.11,26.69,100,97,7.23,RU,1609813845
424,Santa Cruz del Sur,20.71,-78.0,71.06,0,77,8.59,CU,1609813846
425,Leonidovo,49.28,142.87,-1.71,20,79,2.19,RU,1609813847
426,Arlit,18.74,7.39,72.0,0,22,5.03,NE,1609813849
427,Międzyrzec Podlaski,51.99,22.78,39.43,100,95,13.82,PL,1609813850
428,Jamiltepec,16.28,-97.82,69.67,27,100,1.97,MX,1609813851
429,Puerto Colombia,10.99,-74.95,78.8,0,78,10.29,CO,1609813739
430,Alexandria,31.22,29.96,57.2,85,87,6.42,EG,1609813853
431,Kiruna,67.86,20.23,17.6,13,100,5.82,SE,1609813854
432,Bredy,52.42,60.34,-0.76,91,89,2.57,RU,1609813855
433,Bilma,18.69,12.92,68.2,0,23,4.56,NE,1609813857
434,Enugu,6.44,7.49,74.39,43,92,5.1,NG,1609813838
435,Scarborough,54.28,-0.4,37.0,99,89,3.0,GB,1609813859
436,Heyang,26.1,107.47,42.03,100,69,5.86,CN,1609813860
437,Mahon,39.89,4.27,41.0,0,80,6.93,ES,1609813861
438,Aklavik,68.22,-135.01,-13.0,100,75,6.93,CA,1609813829
439,Pangody,65.85,74.49,-15.83,88,89,10.69,RU,1609813864
440,Qasigiannguit,68.82,-51.19,8.49,100,93,1.66,GL,1609813865
441,Torquay,50.46,-3.51,36.0,45,87,10.0,GB,1609813832
442,Pāsighāt,28.07,95.33,69.82,20,31,0.89,IN,1609813867
443,Omsukchan,62.53,155.8,-31.04,100,79,4.34,RU,1609813868
444,Tsimmerbude,54.67,20.13,32.0,90,98,13.42,RU,1609813870
445,Pulaski,34.77,-92.3,53.6,1,50,9.17,US,1609813871
446,Onega,63.91,38.14,7.48,72,95,3.49,RU,1609813872
447,Paita,-5.09,-81.11,68.32,100,86,7.72,PE,1609813873
448,Colares,38.8,-9.45,46.0,0,93,1.12,PT,1609813874
449,Innisfail,-17.53,146.03,77.0,95,82,1.01,AU,1609813875
450,Kitimat,54.05,-128.65,35.01,100,96,6.24,CA,1609813802
451,Shache,38.42,77.24,16.11,90,94,6.85,CN,1609813877
452,Hohhot,40.81,111.65,-0.4,0,59,2.24,CN,1609813879
453,Babayurt,43.6,46.78,39.94,0,73,28.81,RU,1609813880
454,Moratuwa,6.77,79.88,77.0,40,94,1.12,LK,1609813881
455,Inuvik,68.35,-133.72,-13.0,86,75,6.93,CA,1609813882
456,Kautokeino,69.01,23.04,15.73,59,93,7.63,NO,1609813883
457,Boguchany,58.38,97.45,-25.1,54,81,4.23,RU,1609813884
458,Kŭlob,37.91,69.78,23.0,90,92,1.97,TJ,1609813815
459,Lima,-12.04,-77.03,70.0,0,88,10.29,PE,1609813886
460,Fort Nelson,58.81,-122.7,-5.8,90,76,3.36,CA,1609813887
461,Imbituba,-28.24,-48.67,77.0,75,69,4.7,BR,1609813889
462,Ancud,-41.87,-73.82,55.0,0,66,13.87,CL,1609813890
463,Calabozo,8.92,-67.43,75.99,79,53,7.29,VE,1609813891
464,Kualakapuas,-3.01,114.39,78.8,40,88,8.05,ID,1609813892
465,Kattivākkam,13.22,80.32,77.0,90,100,4.7,IN,1609813893
466,Ust'-Kut,56.79,105.77,-30.08,80,79,3.11,RU,1609813894
467,Montluçon,46.33,2.6,30.99,100,92,2.91,FR,1609813895
468,Republic,37.12,-93.48,37.99,1,86,8.05,US,1609813897
469,Gamboula,4.12,15.14,69.13,6,61,2.55,CF,1609813898
470,New Ulm,44.31,-94.46,30.99,1,86,8.05,US,1609813899
471,Mbala,-8.84,31.37,60.13,98,97,3.42,ZM,1609813900
472,Copperas Cove,31.12,-97.9,53.6,1,54,6.93,US,1609813901
473,Pouébo,-20.4,164.57,83.71,86,75,6.22,NC,1609813902
474,Newport,51.59,-3.0,39.0,88,88,4.0,GB,1609813903
475,Muros,42.78,-9.06,32.0,9,96,6.67,ES,1609813904
476,Moroto,2.53,34.67,65.57,44,63,5.01,UG,1609813905
477,Carutapera,-1.2,-46.02,77.13,100,88,5.26,BR,1609813906
478,Kendari,-3.94,122.5,79.84,100,83,0.6,ID,1609813908
479,Florián,5.8,-73.97,60.35,74,93,3.2,CO,1609813909
480,Marystown,47.17,-55.15,31.23,100,95,14.9,CA,1609813910
481,Tessalit,20.2,1.01,61.72,5,26,6.8,ML,1609813911
482,Tarko-Sale,64.92,77.78,-16.01,100,79,10.94,RU,1609813912
483,Paamiut,61.99,-49.67,30.34,100,98,25.08,GL,1609813913
484,Mercedes,-34.65,-59.43,73.0,32,66,4.0,AR,1609813914
485,Casablanca,33.59,-7.62,53.01,75,100,4.7,MA,1609813777
486,Fort-Shevchenko,44.51,50.26,30.0,0,92,15.12,KZ,1609813917
487,Kyra,49.58,111.98,-15.68,100,72,15.14,RU,1609813918
488,Sidrolândia,-20.93,-54.96,68.0,75,94,10.29,BR,1609813919
489,Morden,49.19,-98.1,28.4,0,68,10.29,CA,1609813744
490,Shaunavon,49.65,-108.42,26.6,98,68,13.87,CA,1609813921
491,Gornopravdinsk,60.05,69.9,-17.34,41,86,6.08,RU,1609813922
492,Port Hawkesbury,45.62,-61.35,32.0,90,89,13.87,CA,1609813923
493,Hobyo,5.35,48.53,75.72,100,70,17.81,SO,1609813925
494,Tevaitoa,-16.78,-151.5,81.95,100,72,19.82,PF,1609813926
495,Quatre Cocos,-20.21,57.76,77.0,40,78,8.05,MU,1609813927
496,Madison,34.73,-86.57,51.01,90,76,6.93,US,1609813647
497,Lorengau,-2.02,147.27,86.31,100,67,12.01,PG,1609813929
498,La Ronge,55.1,-105.28,12.2,28,85,5.82,CA,1609813930
499,Kalemie,-5.95,29.19,69.85,96,84,4.41,CD,1609813931
500,Klerksdorp,-26.85,26.67,65.62,95,73,5.48,ZA,1609813932
501,Bima,-8.47,118.72,80.02,100,81,1.12,ID,1609813933
502,Xucheng,20.35,110.13,68.0,75,60,15.66,CN,1609813935
503,Kibaya,-5.3,36.57,59.63,99,100,2.84,TZ,1609813936
504,Les Cayes,18.2,-73.75,71.29,0,74,5.75,HT,1609813937
505,Tripoli,32.88,13.19,51.17,0,45,7.92,LY,1609813773
506,Iwanai,42.97,140.51,21.88,100,90,10.69,JP,1609813939
507,São Gabriel da Cachoeira,-0.13,-67.09,73.65,90,94,0.29,BR,1609813940
508,Koboko,3.41,30.96,66.87,0,60,0.67,UG,1609813942
509,Doha,25.29,51.53,64.4,0,77,3.36,QA,1609813811
510,Umluj,25.02,37.27,71.73,0,62,5.7,SA,1609813944
511,Beringovskiy,63.05,179.32,-7.89,57,88,16.82,RU,1609813945
512,Rodeo,38.03,-122.27,54.0,1,85,5.91,US,1609813736
513,Lancaster,40.25,-76.25,39.2,90,90,3.27,US,1609813831
514,Keşan,40.86,26.63,60.01,3,34,8.1,TR,1609813948
515,Kutum,14.2,24.67,56.62,0,37,7.05,SD,1609813949
516,Manacapuru,-3.3,-60.62,77.0,0,94,2.24,BR,1609813891
517,Oranjestad,12.52,-70.03,75.2,75,88,8.05,AW,1609813951
518,Nishihara,26.18,127.76,66.2,90,82,12.75,JP,1609813953
519,Coquimbo,-29.95,-71.34,59.0,8,87,5.82,CL,1609813954
520,Codrington,-38.27,141.97,58.46,100,85,16.26,AU,1609813955
521,Isangel,-19.55,169.27,82.4,90,88,9.17,VU,1609813956
522,Noshiro,40.2,140.02,26.6,75,86,4.7,JP,1609813957
523,Benghazi,32.12,20.07,58.48,100,56,7.65,LY,1609813831
524,Hanko,59.83,22.95,30.0,90,86,8.01,FI,1609813959
525,Mitú,1.2,-70.17,72.41,73,97,2.24,CO,1609813703
526,Gijang,35.24,129.21,44.6,75,45,12.75,KR,1609813961
527,Totness,5.88,-56.32,76.6,99,89,7.2,SR,1609813962
528,Santo Antônio do Içá,-3.1,-67.94,73.94,92,97,2.04,BR,1609813964
529,Lake Shasta,40.68,-122.37,51.8,1,62,5.82,US,1609813965
530,Richards Bay,-28.78,32.04,74.26,100,89,8.99,ZA,1609813716
531,Hervey Bay,-25.3,152.85,89.01,100,55,8.05,AU,1609813967
532,Maniitsoq,65.42,-52.9,20.8,100,97,4.59,GL,1609813968
533,Coahuayana Viejo,18.73,-103.68,73.4,5,73,2.53,MX,1609813969
534,Campos Belos,-13.04,-46.77,68.97,100,91,1.9,BR,1609813970
535,Kokoda,-8.88,147.74,90.55,94,45,5.14,PG,1609813971
536,Angoche,-16.23,39.91,76.8,40,85,3.11,MZ,1609813973
537,Honiara,-9.43,159.95,89.6,20,66,5.82,SB,1609813974
538,Solenzo,12.18,-4.08,73.53,0,24,5.88,BF,1609813975
539,Esim,4.87,-2.24,78.6,12,86,8.57,GH,1609813976
540,Iskateley,67.68,53.15,-9.08,0,90,9.06,RU,1609813977
541,Sangar,63.92,127.47,-45.63,69,77,2.06,RU,1609813978
542,Mount Isa,-20.73,139.5,95.0,40,34,10.29,AU,1609813979
543,Lake City,30.19,-82.64,42.8,1,87,3.47,US,1609813732
544,Marzuq,14.4,46.47,54.01,0,57,3.36,YE,1609813951
545,Hualmay,-11.1,-77.61,69.98,100,82,4.12,PE,1609813982
546,Itarema,-2.92,-39.92,78.69,2,83,12.19,BR,1609813784
547,Sinjār,36.32,41.88,43.14,24,62,0.98,IQ,1609813984
548,Guilin,25.28,110.29,48.2,75,81,2.24,CN,1609813985
549,Manzanillo,20.34,-77.12,70.03,0,72,3.18,CU,1609813986
550,Fare,-16.7,-151.02,81.68,100,73,16.62,PF,1609813988
551,Kirkuk,35.47,44.39,46.02,73,54,13.71,IQ,1609813817
552,Venado Tuerto,-33.75,-61.97,73.0,97,75,4.0,AR,1609813990
553,Voh,-20.97,164.7,86.95,82,70,3.71,NC,1609813991
554,Baghdad,33.34,44.4,42.8,0,70,6.93,IQ,1609813812
555,Avera,33.19,-82.53,42.8,1,81,7.34,US,1609813993
556,Tuy Hoa,13.08,109.3,75.49,76,90,13.82,VN,1609813994
557,Tamworth,52.63,-1.7,35.6,90,80,10.29,GB,1609813815
558,Lixouri,38.2,20.43,54.1,23,66,9.15,GR,1609813996
559,Alcañiz,41.05,-0.13,30.99,10,73,11.99,ES,1609813997
560,Lucapa,-8.42,20.74,65.79,100,98,1.88,AO,1609813999
